氏名,ふりがな,住所,緯度,経度,年齢,性別,前職業界コード,生年月日,電話番号,通勤手段,希望通勤時間,予想事業所受取時給,予想支払時給,希望勤務時間
吉田 和幸,よしだ かずゆき,大阪府豊中市春日町1-5-7,35.47270,133.05036,100歳,その他・不明,F,1922-07-26,070-0594-7753,自転車,100,1600,2800,10
金田 豊子,かねだ とよこ,千葉県市川市柏井町1-1-9グランコート715,34.66132,133.9353,0歳,女,B,2023-04-19,080-3108-1464,徒歩,140,1350,2200,8
杉崎 美紀,すぎさき みき,東京都江東区北砂3-2-7ネバーランド303,34.39666,132.45961,18歳,女,T,2004-10-21,050-6310-1955,徒歩,140,1300,2850,8
吉江 志郎,よしえ しろう,大阪府東大阪市日下町1-5-806,34.18549,131.47150,99歳,男,L,1924-03-03,070-8376-1968,バス,40,1850,2650,5
岡田 教子,おかだ みちこ,大阪府大阪市西淀川区大和田4-3-3,34.06518,134.55917,29歳,女,N,1993-07-23,090-8760-2085,自転車,130,1200,2550,5
亀井 亜里沙,かめい ありさ,兵庫県神戸市灘区篠原北町1-3-8ロイヤルハイツ815,34.34029,134.04367,59歳,女,C,1963-09-25,080-5813-8011,バス,30,1800,2300,8
疋田 貴大,ひきた たかひろ,福岡県福岡市南区長丘1-1-8,33.84199,132.76628,72歳,男,P,1950-07-15,080-4597-4643,電車,30,1550,2700,8
上野 昭子,うえの あきこ,新潟県新潟市東区江南1-2-1005,33.55980,133.53117,84歳,女,K,1939-02-11,080-4593-1712,電車,80,1500,2350,7
伊勢 工,いせ こう,埼玉県さいたま市中央区本町東2-5-306,33.60630,130.41856,63歳,男,Q,1959-09-28,050-2251-9056,電車,130,1250,2250,3
田中 章,たなか あきら,北海道札幌市東区伏古八条2-5-906,33.2492,130.29846,24歳,男,I,1999-05-10,080-3557-1330,バス,10,1650,2900,2
小池 敦子,こいけ あつこ,北海道帯広市西二十三条南2-1-3,32.7441,129.87327,91歳,女,Q,1931-07-17,070-3081-8374,バス,50,1600,2750,2
染谷 亜紀子,そめや あきこ,東京都世田谷区太子堂1-3-9,32.78925,130.74176,95歳,女,B,1927-09-10,080-6685-0188,徒歩,50,1150,2450,3
宮崎 文,みやざき ふみ,千葉県習志野市津田沼4-1-8,33.23813,131.61212,24歳,その他・不明,N,1999-04-16,090-8313-4891,電車,90,1400,2700,1
柴田 博文,しばた ひろふみ,東京都台東区千束1-1-1001,31.91177,131.42328,2歳,その他・不明,K,2020-12-19,050-7161-1137,電車,170,1550,2150,3
横溝 周作,よこみぞ しゅうさく,北海道札幌市豊平区美園二条3-3-6,31.56039,130.55873,77歳,男,R,1946-01-02,090-2006-4492,バス,30,1450,2850,7
佐々木 拓也,ささき たくや,東京都中央区築地3-3-21,26.21288,127.68159,98歳,男,J,1924-06-19,080-8200-3892,自転車,70,1050,2900,2
鈴木 みき,すずき みき,兵庫県伊丹市西台3-3-12,34.97686,138.3833,36歳,女,F,1986-10-20,090-9846-6505,徒歩,160,1100,2600,5
加茂 崇,かも たかし,北海道札幌市西区八軒三条東3-2-10,35.18077,136.90696,81歳,男,H,1941-08-07,070-7694-6516,徒歩,10,1600,2650,2
村上 歩,むらかみ あゆみ,大阪府高槻市前島2-1-22,34.73036,136.50863,3歳,男,K,2019-11-08,090-5946-3142,バス,50,1950,2050,2
松尾 雅之,まつお まさゆき,千葉県市川市菅野2-2-11,35.00449,135.86821,50歳,男,M,1973-02-18,080-4510-0752,電車,120,1750,2200,6
北村 徹,きたむら とおる,千葉県市川市田尻1-2-11,35.02138,135.75547,46歳,男,R,1977-04-28,070-5326-9329,電車,110,1550,2550,2
南口 恵子,みなみぐち けいこ,東京都足立区青井1-3-8,34.68631,135.52774,86歳,その他・不明,O,1936-07-28,050-9210-9412,電車,130,1300,2500,6
三好 亮,みよし りょう,埼玉県さいたま市浦和区岸町1-3-20,34.69198,135.18355,60歳,男,G,1963-05-07,080-1460-5837,自転車,110,1550,2800,2
宮里 栄,みやざと さかえ,神奈川県茅ヶ崎市香川3-3-8パインクレスト202,34.68542,135.83243,8歳,男,E,2015-02-24,070-2646-0220,徒歩,110,1600,2700,2
近藤 剛士,こんどう つよし,大阪府大阪市平野区平野東2-2-4,34.22675,135.16736,74歳,男,H,1948-07-01,050-3685-1593,徒歩,40,1250,2350,3
奥野 宣幸,おくの のぶゆき,北海道札幌市中央区北二条西2-1-20プロパレス415,35.50324,134.2386,7歳,男,C,2015-06-22,070-1762-4730,バス,90,1200,2300,7
國吉 裕子,くによし ゆうこ,大阪府大阪市城東区成育2-5-17,35.47269,133.05027,11歳,女,B,2011-10-13,090-6310-6411,徒歩,50,2000,2150,5
佐々木 政司,ささき まさし,東京都練馬区向山3-2-102,34.66134,133.93581,55歳,男,T,1968-02-10,070-0655-0037,バス,60,1650,2300,3
日野 由希子,ひの ゆきこ,東京都港区西麻布3-3-11スカイマンション616,34.39678,132.4591,53歳,女,A,1970-04-19,070-2785-6981,自転車,170,1550,2400,1
簗田 大輔,やなだ だいすけ,東京都中野区中野4-2-9,34.18519,131.47179,52歳,男,H,1970-08-24,080-1873-5127,自転車,110,1450,2300,9
寺本 弘康,てらもと ひろやす,東京都板橋区舟渡2-3-407アンビエント514,34.0655,134.5598,39歳,男,Q,1984-02-11,070-6991-9025,自転車,90,1150,2350,8
平本 一成,ひらもと いっせい,東京都中野区江古田1-2-20,34.34043,134.04394,20歳,男,G,2002-08-19,050-9681-9219,バス,110,1650,2400,6
藤枝 優太,ふじえだ ゆうた,東京都中野区本町1-2-17,33.84131,132.7668,98歳,その他・不明,T,1924-11-07,070-1423-9739,徒歩,150,1750,2650,6
池端 由美子,いけはた ゆみこ,大阪府茨木市上穂積3-5-9,33.55917,133.53179,39歳,女,I,1984-04-05,050-5882-8608,電車,120,1850,2700,2
田中 博,たなか ひろし,埼玉県志木市上宗岡1-3-505,33.6069,130.41869,48歳,男,O,1975-02-23,070-7361-8266,電車,150,1650,2350,4
高山 浩司,たかやま ひろし,東京都新宿区四谷3-1-8ハーモニーコート116,33.24948,130.2982,45歳,男,H,1978-04-03,090-3541-2538,バス,140,1150,2250,9
平岡 勇,ひらおか ゆう,東京都港区赤坂1-2-7シティテラス210,32.7448,129.87349,54歳,男,E,1969-03-30,050-5356-1930,バス,60,1700,2500,5
島野 知実,しまの ともみ,東京都江東区亀戸1-2-13,32.789100,130.74188,81歳,女,C,1942-05-02,070-2070-5004,徒歩,10,1200,2250,7
池田 裕幸,いけだ ひろゆき,佐賀県鳥栖市蔵上1-3-1106ルネ806,33.2388,131.61224,50歳,男,S,1972-11-07,080-5716-3849,自転車,20,1150,2650,7
川崎 香,かわさき かおり,大阪府泉佐野市羽倉崎2-3-16,31.91191,131.42341,80歳,女,I,1942-08-22,050-2220-7554,徒歩,60,1950,2150,9
奥本 萌,おくもと もえ,岩手県釜石市大平町2-2-5,31.56027,130.55834,72歳,女,F,1950-06-26,050-0708-9731,徒歩,40,2000,2200,2
前川 陽介,まえかわ ようすけ,新潟県上越市仲町4-3-7,26.21279,127.68131,34歳,男,L,1988-10-07,050-5243-7975,自転車,100,1050,2950,2
清水 由香,しみず ゆか,東京都江東区東陽2-2-7,43.06422,141.34678,6歳,女,P,2017-05-21,050-6005-5582,電車,100,1850,2250,2
大石 英敏,おおいし ひでとし,東京都杉並区南荻窪3-4-18,40.82476,140.74375,66歳,男,R,1956-09-08,050-6189-8375,電車,170,1950,2300,7
溝口 祐司,みぞぐち ゆうじ,大阪府藤井寺市小山4-2-10ハイツオークラ208,39.70362,141.15246,31歳,男,D,1991-12-07,080-5618-5906,電車,150,1200,2600,3
小笠原 綾子,おがさわら あやこ,愛媛県西予市宇和町卯之町3-4-13,38.26853,140.87182,20歳,女,M,2002-11-16,070-4703-8989,徒歩,50,1750,2100,8
栗原 宏文,くりはら ひろふみ,東京都台東区浅草橋1-3-17,39.71886,140.10248,50歳,男,R,1973-04-29,090-0333-6904,自転車,130,1950,2100,8
仁田 勇二,にった ゆうじ,愛知県名古屋市中川区八神町3-1-3,38.24033,140.36365,9歳,男,N,2014-05-16,050-2933-6309,自転車,170,1300,2200,3
赤穂 純平,あこう じゅんぺい,福井県福井市二の宮2-4-15,37.75178,140.46734,86歳,男,M,1937-04-10,080-8682-1447,徒歩,20,1950,2150,7
宮本 隆昭,みやもと たかあき,東京都練馬区土支田3-1-105,36.34173,140.4463,15歳,その他・不明,E,2007-09-07,070-8442-1813,バス,30,1150,2950,2
高瀬 栄一,たかせ えいいち,福岡県福岡市博多区板付1-3-8,36.5652,139.88350,26歳,男,J,1997-01-26,050-6853-6568,徒歩,80,1400,2300,9
原口 聖也,はらぐち せいや,東京都江東区豊洲3-3-5,36.39184,139.06052,47歳,その他・不明,G,1976-04-19,080-1692-2148,自転車,140,1150,2700,8
大門 亜矢子,だいもん あやこ,東京都豊島区南長崎2-1-901,35.85670,139.64850,96歳,女,F,1926-09-16,080-7151-2654,自転車,50,1350,2700,8
神吉 広,かんき ひろひ,大阪府大阪市中央区久太郎町2-5-21,35.60456,140.12399,55歳,男,N,1968-02-07,050-0410-4475,徒歩,40,1750,2800,1
浅井 祥平,あさい しょうへい,大阪府大阪市平野区流町3-4-302,35.68990,139.69166,77歳,男,P,1945-11-24,090-1379-5950,自転車,90,1550,2850,1
新井 理代,あらい りよ,北海道室蘭市高砂町1-3-5,35.4475,139.64231,50歳,女,J,1973-05-31,090-6753-7766,電車,70,1950,2950,2
高橋 徹郎,たかはし てつろう,神奈川県座間市入谷2-2-3,37.90277,139.02341,69歳,男,E,1954-04-05,080-9521-9746,徒歩,180,1050,2850,5
前島 静恵,まえじま しずえ,埼玉県蕨市中央3-5-907,36.69559,137.21154,100歳,女,T,1922-08-17,080-1384-1070,バス,20,1900,2350,4
安田 千寛,やすだ ちひろ,東京都港区南青山1-1-508,36.59430,136.62564,7歳,女,S,2016-01-07,050-9533-9229,徒歩,40,1550,2550,8
田辺 歩,たなべ あゆみ,愛媛県松山市今在家2-1-5,36.06545,136.22176,46歳,女,H,1976-06-28,070-3704-3359,徒歩,180,1250,3000,7
大橋 亜以子,おおはし あいこ,愛知県名古屋市南区呼続1-5-303ネオダイキョー513,35.66332,138.56892,30歳,女,R,1992-08-11,050-8853-7751,徒歩,140,2000,2100,5
佐藤 剛一,さとう こういち,東京都杉並区和泉1-1-20ロジュマン602,36.65197,138.18146,73歳,男,D,1949-11-22,080-1485-6878,バス,180,1300,2100,1
中井 由紀,なかい ゆき,福岡県那珂川市道善1-1-7,35.39198,136.72273,3歳,女,Q,2019-12-12,070-9260-5417,徒歩,10,1450,2400,6
田中 チエ,たなか ちえ,東京都中野区鷺宮3-5-801,34.97624,138.38369,12歳,女,C,2010-09-24,090-8743-0912,バス,90,1850,2650,10
安本 正則,やすもと まさのり,愛知県名古屋市中村区名駅4-1-10,35.18040,136.90680,91歳,男,K,1932-01-28,050-6708-7649,電車,170,1750,2550,10
吉田 雅幸,よしだ まさゆき,大阪府大阪市鶴見区浜1-3-10アーバンビュー508,34.73039,136.50868,29歳,男,A,1993-07-07,070-6475-3255,徒歩,30,2000,2050,9
榎本 健太,えのもと けんた,大阪府和泉市伏屋町3-1-3,35.00419,135.86882,34歳,男,L,1989-01-09,070-9312-5056,電車,130,1300,2700,6
島根 憲和,しまね のりかず,大阪府大阪市中央区平野町1-1-6ビューネ707,35.02123,135.75526,61歳,男,N,1961-10-21,070-5586-8906,電車,180,1850,2600,2
峰村 直子,みねむら なおこ,東京都中野区大和町3-5-4,34.68644,135.5279,51歳,その他・不明,D,1971-07-31,080-8366-5496,電車,50,1200,2800,3
加来 真司,かく しんじ,岩手県盛岡市上堂1-1-202エスト103,34.69139,135.18389,49歳,男,H,1974-04-25,090-4416-2923,バス,140,1100,2950,9
大澤 雅和,おおさわ まさかず,熊本県熊本市西区島崎2-4-13,34.68581,135.83267,81歳,男,M,1941-08-28,080-2792-4561,電車,170,1850,2650,6
宮本 優佳,みやもと ゆか,福岡県福岡市東区筥松3-2-108,34.22628,135.16744,4歳,女,A,2019-02-09,080-5642-2563,電車,50,1250,2450,9
藤田 鮎美,ふじた あゆみ,東京都世田谷区弦巻3-4-509,35.50391,134.23873,63歳,女,E,1960-04-17,080-4997-4004,自転車,140,1950,2400,6
酒井 真一,さかい しんいち,大阪府大阪市西淀川区大和田3-3-13,35.47241,133.05081,54歳,男,D,1968-08-03,070-3882-3783,自転車,160,1150,2550,8
神村 幸枝,かみむら ゆきえ,東京都練馬区関町南3-1-207,34.66169,133.93526,87歳,女,P,1936-01-25,070-4637-1666,自転車,40,1650,2200,6
淺井 義教,あさい よしのり,東京都足立区花畑2-4-8サンワプラザ310,34.3964,132.45921,12歳,男,P,2011-05-13,080-7040-1266,徒歩,90,1600,2800,9
清水 秀輝,しみず ひでき,大阪府大阪市東成区中本4-2-4,34.18593,131.4710,54歳,男,D,1969-02-18,080-7427-7981,自転車,150,1250,2650,8
水野 学,みずの まなぶ,沖縄県那覇市おもろまち4-2-7,34.06520,134.55982,50歳,男,S,1972-07-22,050-7154-6418,バス,70,1900,2400,7
佐々木 邦彦,ささき くにひこ,宮崎県宮崎市江南3-2-8,34.34026,134.04328,3歳,男,F,2019-08-25,090-9216-6677,自転車,100,1250,2750,10
小久保 詩織,こくぼ しおり,東京都目黒区目黒3-4-19,33.84195,132.76656,60歳,女,E,1962-09-26,090-8338-2627,自転車,30,1350,2850,6
鈴木 渚,すずき なぎさ,大阪府箕面市瀬川2-3-9,33.5595,133.53115,9歳,女,E,2014-04-01,090-5405-2067,徒歩,130,1600,2800,10
玉井 泰則,たまい よしのり,大阪府大阪市西区九条南2-2-1109,33.60622,130.41811,35歳,男,I,1988-04-18,080-4677-8839,自転車,150,1100,2200,8
高久 美幸,たかく みゆき,東京都千代田区麹町1-3-8,33.24960,130.29897,78歳,その他・不明,G,1945-01-22,050-1798-5457,電車,100,1550,2200,1
岡本 彩乃,おかもと あやの,大阪府大阪市北区西天満1-3-20サンライズ406,32.74433,129.87338,73歳,女,G,1949-06-23,070-2408-1870,自転車,20,1500,2450,5
中村 由佳,なかむら ゆか,東京都足立区大谷田1-3-21,32.78968,130.74175,45歳,女,L,1978-05-30,080-9329-0369,自転車,180,1550,2400,1
蓮尾 綾香,はすお あやか,東京都豊島区池袋本町2-3-5,33.23864,131.61280,25歳,女,C,1998-05-06,090-8586-9351,徒歩,60,1800,3000,10
田村 祐香,たむら ゆか,神奈川県横浜市鶴見区岸谷3-1-9,31.91155,131.42347,21歳,女,O,2001-10-29,050-0038-7530,自転車,40,1950,2350,1
白鳥 徹,しらとり とおる,福岡県福岡市西区姪の浜2-4-10,31.56078,130.55847,65歳,男,S,1957-10-14,070-6477-2263,電車,100,1350,2900,10
坂井 玲子,さかい れいこ,福井県越前市芝原1-3-14,26.21279,127.68118,88歳,女,C,1934-07-01,080-9324-4604,電車,70,1250,2800,10
山本 まゆみ,やまもと まゆみ,大阪府東大阪市加納1-3-9,34.9763,138.38325,89歳,女,N,1933-06-10,050-2901-4614,バス,180,1550,2350,4
金子 絢子,かねこ じゅんこ,福岡県福岡市早良区干隈4-3-9,35.18079,136.90625,13歳,女,F,2009-09-15,070-3052-9859,バス,30,1950,2600,8
阿部 依子,あべ よりこ,埼玉県羽生市中央3-2-5グローバル613,34.73094,136.50829,19歳,女,E,2003-10-02,070-5596-5059,自転車,160,1250,2400,8
樋口 晋一郎,ひぐち しんいちろう,岩手県盛岡市上田2-2-12,35.00471,135.86896,27歳,男,S,1995-11-07,090-0700-7113,自転車,110,2000,2250,3
林 光,はやし ひかる,東京都港区港南2-4-21,35.02139,135.75556,97歳,男,O,1926-02-07,080-6470-4048,バス,90,1700,2550,7
石井 幸雄,いしい ゆきお,埼玉県本庄市日の出3-3-7,34.68640,135.52730,4歳,男,M,2019-01-29,090-1776-0550,電車,130,1200,2300,10
川村 順子,かわむら じゅんこ,東京都中野区東中野3-5-9スカイマンション106,34.69132,135.1835,5歳,その他・不明,D,2017-11-06,080-9215-4037,自転車,60,1150,2800,3
千葉 晴貴,ちば はるき,広島県安芸郡府中町瀬戸ハイム2-4-20,34.68534,135.83236,27歳,男,J,1995-11-19,070-4144-1651,バス,140,1750,2750,7
田中 有希,たなか ゆき,東京都墨田区緑4-1-7,34.22644,135.1670,48歳,女,E,1974-09-04,080-8090-2925,自転車,140,1500,2150,2
大津 華恵,おおつ はなえ,東京都千代田区九段南3-1-7,35.50345,134.23882,57歳,女,G,1965-09-08,090-8449-4983,電車,160,2000,2250,6
立石 公二,たていし こうじ,千葉県柏市松葉町1-1-6,35.47238,133.05045,11歳,男,S,2011-08-16,070-3015-4711,徒歩,70,1400,2350,6
岩井 大輔,いわい だいすけ,東京都港区高輪3-5-8,34.66121,133.93542,36歳,男,E,1986-07-27,070-3746-8303,徒歩,30,1900,2100,7
横山 公康,よこやま きみやす,東京都豊島区池袋1-2-14,34.39673,132.45996,41歳,男,L,1981-07-27,070-0995-8489,徒歩,100,1050,2550,8
星野 七重,ほしの ななえ,栃木県宇都宮市インターパーク3-1-508,34.1858,131.47199,71歳,女,I,1951-06-30,080-2230-0501,電車,130,1500,2650,5
辻岡 亮太,つじおか りょうた,兵庫県尼崎市東園田町4-3-3,34.06540,134.55997,41歳,男,E,1981-06-15,080-4872-0551,バス,130,1500,2750,5
西尾 浩一,にしお こういち,兵庫県姫路市田寺東1-5-10,34.34031,134.0432,98歳,男,S,1924-06-28,080-2926-6050,バス,150,1950,2950,8
金沢 太郎,かなざわ たろう,東京都港区芝2-3-22ヴィークコート716,33.84138,132.76659,4歳,男,F,2018-11-29,050-9694-4979,徒歩,140,1900,2250,6
舘野 歩,たての あゆみ,兵庫県神戸市西区北別府3-2-4,33.55971,133.53184,78歳,女,E,1945-03-13,070-0364-2430,電車,100,1650,2250,9
花木 和久,はなき かずひさ,福岡県福岡市中央区天神3-4-8,33.60652,130.4187,95歳,男,I,1928-05-06,090-2093-9861,自転車,100,1200,2950,7
後藤 遼,ごとう りょう,新潟県長岡市四郎丸1-4-6,33.24983,130.29842,59歳,男,L,1964-03-04,080-2670-2201,電車,40,1850,2800,1
鈴木 秀憲,すずき ひでのり,東京都杉並区阿佐谷北1-3-10,32.74433,129.87371,17歳,その他・不明,T,2006-05-10,070-1769-7019,自転車,130,1550,2400,7
玉木 浩幸,たまき ひろゆき,愛知県常滑市本郷町3-2-904,32.78968,130.74148,17歳,男,K,2006-01-19,090-7643-1771,バス,50,1700,2950,3
萬代 ちづる,ばんだい ちづる,北海道札幌市中央区北九条西1-1-6,33.23838,131.61261,93歳,女,A,1929-08-24,080-8415-7775,バス,40,1500,3000,5
三浦 哲,みうら さとし,東京都品川区東品川3-1-908,31.91168,131.42351,2歳,男,Q,2020-08-28,080-6747-3272,徒歩,120,1800,2400,9
豊永 和宏,とよなが かずひろ,東京都品川区東大井1-2-9,31.56079,130.55870,9歳,男,R,2013-12-05,070-1721-7234,電車,130,1350,2250,4
片山 マユミ,かたやま まゆみ,北海道小樽市奥沢1-2-10エミネンス209,26.2128,127.68167,8歳,女,M,2015-02-05,070-5636-4484,徒歩,160,1050,2150,9
杉田 弘樹,すぎた ひろき,福岡県大野城市大城4-2-6,34.97612,138.38378,34歳,男,S,1989-01-10,050-5290-8798,自転車,130,1600,2800,7
及川 洋一,おいかわ よういち,東京都港区六本木3-3-4パークハイム314,35.18065,136.90652,2歳,男,S,2020-11-13,080-8949-2989,電車,100,1250,2600,2
山下 一郎,やました いちろう,東京都中央区勝どき3-4-4,34.73018,136.50883,20歳,男,H,2002-09-06,090-0998-1036,電車,170,1450,2850,3
車 隆博,くるま たかひろ,東京都日野市豊田3-3-7コスモ806,35.00429,135.86836,90歳,男,C,1933-05-12,050-0366-6880,徒歩,50,1950,2200,3
渡邉 かよこ,わたなべ かよこ,東京都立川市上砂町2-2-6,35.02111,135.75558,30歳,女,P,1993-02-21,090-6141-8686,電車,120,1250,2350,4
岩切 和馬,いわきり かずま,神奈川県横浜市港南区芹が谷3-1-405,34.6862,135.5276,48歳,男,K,1975-03-09,070-5910-7123,自転車,140,1400,2350,4
松山 翼,まつやま つばさ,東京都世田谷区太子堂3-3-22,34.69123,135.18357,42歳,男,O,1981-05-10,090-8827-0110,バス,180,1400,2900,4
芳賀 泰佑,はが たいすけ,兵庫県川西市緑台3-2-6,34.68518,135.83231,72歳,男,N,1950-07-01,070-7264-8981,バス,60,1250,2650,5
石川 早苗,いしかわ さなえ,東京都墨田区石原4-2-7,34.22682,135.16726,60歳,女,P,1962-10-09,070-1692-4749,徒歩,80,1350,2450,4
井上 賢一郎,いのうえ けんいちろう,東京都世田谷区駒沢3-5-1104,35.50362,134.23883,27歳,男,D,1996-04-06,070-1875-4644,電車,60,1450,2900,2
本多 豪,ほんだ たけし,鹿児島県鹿児島市谷山中央4-3-5,35.47215,133.05044,19歳,男,O,2003-12-18,050-3464-7529,徒歩,160,1450,2450,3
松本 祐二,まつもと ゆうじ,千葉県市川市八幡1-3-5,34.66170,133.93523,79歳,男,E,1943-10-01,070-4593-3235,電車,110,1450,2500,10
清水 謙司,しみず けんじ,東京都中央区日本橋本石町4-2-10,34.39615,132.45948,67歳,男,Q,1955-08-19,090-1252-8154,バス,100,1300,2700,7
田中 徹,たなか とおる,東京都世田谷区池尻3-1-6,34.18593,131.47149,44歳,男,B,1978-09-24,050-0219-7474,電車,50,1500,2450,2
牧野 美智代,まきの みちよ,東京都足立区東和3-1-5,34.06563,134.55963,84歳,女,R,1938-10-19,070-1878-6193,電車,120,1550,2250,5
金井 研,かない けん,東京都江戸川区上篠崎2-2-1208,34.3406,134.04350,86歳,男,R,1937-01-28,070-7535-2785,徒歩,180,1400,2900,1
石垣 卓司,いしがき たくじ,東京都目黒区上目黒1-5-13,33.84139,132.76684,10歳,男,K,2013-02-01,080-7584-1860,自転車,160,1800,2150,9
阿部 久司,あべ ひさし,北海道室蘭市宮の森町3-1-502,33.55954,133.53192,95歳,男,C,1928-03-20,070-1843-1833,徒歩,40,1650,3000,9
奥村 有一,おくむら ゆういち,愛知県名古屋市千種区末盛通4-3-10,33.60635,130.41845,6歳,男,P,2016-06-24,090-5164-7560,電車,60,1800,2600,6
太田 高史,おおた たかふみ,北海道沙流郡日高町富川南3-2-18,33.24991,130.29884,21歳,男,P,2002-04-08,070-5534-3058,バス,60,1250,2850,1
佐藤 愛,さとう あい,青森県三沢市中央町2-4-1105,32.74432,129.87340,15歳,女,E,2008-01-15,070-9170-7799,電車,90,1400,2300,7
名田 大介,なだ だいすけ,東京都千代田区九段南1-5-20,32.78977,130.7412,70歳,男,J,1952-11-06,070-4551-6813,自転車,50,1100,2750,4
古賀 茉美,こが まみ,長野県松本市大手1-4-12グリーンエクセル607,33.23880,131.61248,20歳,女,K,2003-02-12,090-1362-8063,自転車,20,1050,2100,1
中村 直子,なかむら なおこ,大阪府大阪市阿倍野区阪南町1-2-706,31.91191,131.42323,18歳,女,O,2004-12-21,070-7088-5878,自転車,180,1600,2700,10
岩見 義,いわみ ただし,東京都台東区台東1-3-8,31.56035,130.55838,14歳,男,R,2008-09-27,080-2741-2389,自転車,110,1850,2550,6
遠藤 孝行,えんどう たかゆき,東京都江戸川区東葛西1-1-102,26.21271,127.6818,59歳,男,E,1963-12-09,070-6227-8501,徒歩,140,1500,2550,2
三上 由香,みかみ ゆか,宮城県仙台市太白区あすと長町4-2-8,34.97616,138.38311,45歳,女,J,1978-05-28,070-1643-8168,電車,20,1500,2100,7
東山 良介,ひがしやま りょうすけ,大阪府大阪市東成区大今里4-3-3,35.18062,136.90653,40歳,男,B,1983-02-17,080-5276-4715,徒歩,130,1100,2200,10
石川 一彦,いしかわ かずひこ,千葉県大網白里市みどりが丘1-2-3,34.73069,136.50842,69歳,男,I,1954-01-30,050-9102-0040,バス,170,1300,2700,3
香取 秀司,かとり しゅうじ,東京都杉並区高井戸東3-4-20,35.00414,135.8683,46歳,男,P,1976-07-29,050-3400-7802,自転車,10,1750,2800,10
豊福 清,とよふく きよし,東京都渋谷区千駄ヶ谷2-1-7ネオステージ213,35.02130,135.75523,75歳,男,L,1948-03-03,090-5137-9570,徒歩,70,1350,2950,7
仁藤 聖司,にとう きよし,東京都渋谷区広尾3-3-5,34.68693,135.52715,55歳,男,S,1968-06-01,080-2238-9878,バス,30,1650,2950,1
磯部 真紗子,いそべ まさこ,愛知県豊田市柿本町3-1-8,34.69125,135.18321,58歳,女,A,1964-09-17,070-1540-4890,電車,30,1600,2450,2
武富 将輝,たけとみ まさき,東京都台東区元浅草3-2-5,34.68578,135.83241,68歳,男,B,1955-04-17,050-2320-2354,電車,110,1250,2200,1
高田 雅美,たかだ まさみ,神奈川県厚木市旭町2-2-21,34.22658,135.16745,53歳,女,D,1970-04-26,080-8866-7824,徒歩,20,1300,2650,4
渡辺 敏弘,わたなべ としひろ,神奈川県秦野市鶴巻南1-5-7,35.50328,134.23881,44歳,男,E,1978-08-02,050-6656-1862,バス,110,1250,2050,8
村松 由里子,むらまつ ゆりこ,東京都台東区台東4-1-5,35.47268,133.0504,47歳,女,S,1975-12-14,070-8999-5334,電車,40,1500,2950,7
光安 浩章,みつやす ひろあき,埼玉県さいたま市南区根岸4-2-3,34.66166,133.93539,13歳,その他・不明,T,2009-12-12,070-9070-7467,電車,100,1450,2350,5
江藤 早織,えとう さおり,神奈川県川崎市多摩区菅北浦1-1-3,34.39698,132.45954,0歳,その他・不明,G,2023-05-01,090-0867-5525,電車,90,1350,2550,6
松本 知明,まつもと ともあき,千葉県千葉市中央区登戸3-1-4,34.18584,131.47179,39歳,男,H,1983-07-15,090-9220-3873,電車,150,1250,2400,5
小森 崇幸,こもり たかゆき,東京都港区新橋2-1-306サンプリンス308,34.06542,134.55967,100歳,男,N,1922-10-11,080-5060-9557,電車,110,1250,2650,4
堀田 雅代,ほった まさよ,滋賀県大津市一里山1-2-6,34.34072,134.04396,49歳,女,R,1973-10-15,050-8922-1565,バス,150,1850,2800,8
佐藤 杏子,さとう きょうこ,愛知県蒲郡市三谷北通2-5-17,33.84138,132.76629,14歳,女,J,2009-02-06,080-0246-1846,徒歩,100,1550,2350,2
小林 みゆき,こばやし みゆき,東京都中野区中央2-3-7,33.55957,133.53116,30歳,女,J,1992-06-27,080-2487-8890,電車,110,1800,2350,2
安武 俊光,やすたけ としみつ,大阪府池田市伏尾台3-3-3,33.60675,130.41828,97歳,男,Q,1926-02-14,090-4965-8469,バス,50,1250,2600,7
荒井 春樹,あらい はるき,東京都渋谷区神宮前1-1-7ハイマート403,33.24994,130.29865,76歳,男,N,1946-12-22,070-9395-4261,バス,80,1250,2200,7
朝川 朋子,あさかわ ともこ,愛媛県今治市喜田村3-1-19,32.74420,129.87383,75歳,女,B,1948-04-11,080-5780-8912,徒歩,10,1150,2750,5
竹本 耕平,たけもと こうへい,岐阜県大垣市本今1-3-8,32.7898,130.74198,29歳,男,N,1994-02-23,050-6333-8787,自転車,30,1650,2550,4
嶋津 泰司,しまづ やすし,東京都練馬区関町北1-1-6,33.23871,131.61266,66歳,男,N,1956-08-19,090-2000-8903,徒歩,70,1350,2550,5
磯部 康宏,いそべ やすひろ,神奈川県横浜市青葉区美しが丘2-3-10ヒルズコート809,31.91162,131.42313,9歳,男,L,2013-08-26,090-3141-1643,徒歩,60,1750,2550,5
宮川 光章,みやがわ みつあき,東京都墨田区立川2-4-5,31.56016,130.55814,95歳,男,K,1928-02-13,090-2809-4727,自転車,10,1600,2200,2
安藤 真弓,あんどう まゆみ,神奈川県川崎市中原区宮内1-2-9,26.21234,127.68132,31歳,女,M,1992-02-18,050-3304-4454,徒歩,120,1750,2400,2
